id,country,year,Y,K,pop,L,s,alpha_it,GDPpc,lp,h,kl,kp,ky,TFP,log_GDPpc_raw,log_lp_raw,log_ky_raw,log_h_raw,log_tfp_raw,log_GDPpc,log_lp,log_ky,log_h,log_tfp,region,hi1990,isocode
79,Rwanda,2003,7614,8662,8.6864691,4.1123571,3.5899839,.2290221,876.53564,1851.4929,1.952173,2106.3345,.87901175,1.1376412,192.16658,6.7759771,7.5237474,.12895699,.66894311,5.2583628,6.8050146,7.5540905,.19918047,.66659743,5.2440529,Africa,no,RWA
17,Central African Republic,2009,3683,11595,4.3614922,1.843302,3.7168291,.83568418,844.43579,1998.0448,1.981319,6290.3418,.31763691,3.1482487,109.48398,6.7386689,7.5999246,1.1468463,.68376279,4.6957784,6.6985831,7.5640144,1.1652,.68418807,4.6653819,Africa,no,CAF
26,Democratic Republic of Congo,2011,46340,68883,68.087379,21.755711,3.6968589,,680.59601,2130.0154,1.976727,3166.2031,.67273492,1.4864696,339.09195,6.5229688,7.6638846,.39640394,.68144244,5.8262715,6.4247246,7.5659466,.68059868,.6801222,5.6665154,Africa,no,COD
63,Myanmar,1996,48859.996,22151,45.29089,23.32229,3.312923,,1078.8041,2094.9912,1.888689,949.77808,2.2057693,.45335656,515.79388,6.9836082,7.6473045,-.79107636,.63588297,6.245707,6.9218698,7.5821919,-.7203216,.63727832,6.1798577,Asia,no,MMR
62,Mozambique,2005,19608,17441,21.126677,9.140317,1.277182,.57330692,928.11566,2145.2209,1.416875,1908.1395,1.1242474,.88948387,335.47342,6.8331566,7.6709976,-.1171139,.34845376,5.8155427,6.7452221,7.5829501,.02680907,.36995551,5.7020235,Africa,no,MOZ
17,Central African Republic,2008,3740,10219,4.280405,1.8019871,3.6745529,.83568418,873.74908,2075.4866,1.971599,5670.9619,.36598492,2.732353,116.97112,6.7727933,7.6379509,1.0051631,.67884487,4.7619271,6.7151027,7.5853577,1.0822715,.67878824,4.7009726,Africa,no,CAF
79,Rwanda,2004,8339,9924,8.8289557,4.144125,3.7090161,.2290221,944.5058,2012.2462,1.979522,2394.7153,.8402862,1.1900707,199.79729,6.8506618,7.607007,.17401275,.68285537,5.2973032,6.8505664,7.59797,.23446313,.67989564,5.2680631,Africa,no,RWA
17,Central African Republic,2007,3687,9049,4.2021041,1.762382,3.6322761,.83568418,877.4176,2092.0549,1.961884,5134.5278,.40744835,2.454299,121.1155,6.7769833,7.6459022,.89784116,.67390525,4.7967448,6.7294917,7.6042962,1.0051354,.67329532,4.7331538,Africa,no,CAF
26,Democratic Republic of Congo,1996,26909,135728,43.424995,13.64837,3.370775,,619.66614,1971.5908,1.901927,9944.6309,.19825681,5.043963,185.95421,6.4291806,7.586596,1.6181921,.64286757,5.2255006,6.4619188,7.6187,1.6351875,.63785613,5.2386389,Africa,no,COD
17,Central African Republic,2006,3538,8035,4.1271119,1.726143,3.5899999,.83568418,857.25806,2049.6563,1.952177,4654.8867,.44032359,2.2710571,121.90059,6.7537389,7.6254272,.82024544,.66894519,4.803206,6.7420192,7.6210155,.93469739,.66768771,4.7617764,Africa,no,CAF
62,Mozambique,2006,20562,19923,21.73786,9.3598204,1.407023,.57330692,945.90729,2196.8369,1.448325,2128.5664,1.0320735,.96892327,331.6456,6.8521447,7.6947737,-.031569853,.37040773,5.8040671,6.7823148,7.6220489,.07463,.38326526,5.7170529,Africa,no,MOZ
63,Myanmar,1997,48582,24756,45.895992,23.9065,3.4072289,,1058.5238,2032.167,1.910273,1035.5343,1.9624333,.50957143,488.52756,6.9646306,7.616858,-.67418522,.64724612,6.1913958,6.9705524,7.6222072,-.67612839,.64851731,6.1952682,Asia,no,MMR
100,Uganda,1990,14011,17638,17.384369,6.5535431,3.4837849,,805.95392,2137.9275,1.9278131,2691.3687,.79436445,1.258868,240.78659,6.6920266,7.667592,.23021288,.65638626,5.483911,6.6690798,7.6297417,.13713291,.65579361,5.4948301,Africa,no,UGA
68,Niger,2002,9149,34174,12.075991,4.3741512,1.453869,.387032,757.61902,2091.6057,1.459572,7812.7158,.26771814,3.7352717,158.33052,6.6301808,7.6456871,1.3178205,.37814322,5.0646849,6.6044831,7.6325774,1.4010272,.38096714,5.0234365,Africa,no,NER
68,Niger,2003,9551,34899,12.526725,4.5415788,1.4910311,.3836506,762.44989,2103.0132,1.46846,7684.332,.27367547,3.6539629,161.79973,6.6365366,7.6511264,1.2958122,.38421422,5.0863595,6.6080289,7.6333351,1.4027566,.38789034,5.0345755,Africa,no,NER
68,Niger,2001,8650,33494,11.642308,4.203474,1.416706,.40104371,742.9798,2057.8218,1.450654,7968.1709,.25825521,3.8721387,152.99251,6.6106687,7.6294031,1.353807,.37201452,5.0303888,6.6023197,7.6340404,1.402566,.37426829,5.0124106,Africa,no,NER
17,Central African Republic,2005,3451,7027,4.0556078,1.692193,3.547724,.76810747,850.92053,2039.3655,1.942475,4152.5996,.49110574,2.0362215,125.30405,6.7463188,7.6203942,.71109587,.6639629,4.8307433,6.7530732,7.635808,.87159449,.66194558,4.7868505,Africa,no,CAF
